SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:8:47

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-2.333	16.349	33.215	19.858	83.316	26.790	12.247	-15.407	
-2.335	16.349	33.209	19.923	83.295	26.850	12.254	-15.409	
-2.338	16.349	33.203	19.986	83.273	26.917	12.262	-15.410	
-2.340	16.349	33.196	20.046	83.250	26.992	12.270	-15.408	
-2.342	16.349	33.188	20.104	83.226	27.075	12.279	-15.401	
-2.344	16.349	33.179	20.161	83.203	27.165	12.289	-15.387	
-2.347	16.349	33.171	20.215	83.179	27.262	12.299	-15.366	
-2.349	16.348	33.161	20.269	83.154	27.367	12.310	-15.336	
-2.352	16.348	33.152	20.321	83.130	27.479	12.321	-15.301	
-2.354	16.348	33.142	20.371	83.105	27.598	12.333	-15.260	
-2.357	16.348	33.133	20.420	83.080	27.723	12.345	-15.219	
-2.360	16.348	33.123	20.467	83.055	27.855	12.358	-15.180	
-2.362	16.348	33.114	20.513	83.029	27.992	12.372	-15.148	
-2.365	16.348	33.105	20.558	83.003	28.134	12.386	-15.129	
-2.368	16.348	33.097	20.601	82.976	28.282	12.401	-15.124	
-2.371	16.348	33.090	20.641	82.949	28.435	12.416	-15.137	
-2.374	16.348	33.084	20.679	82.921	28.592	12.432	-15.164	
-2.377	16.348	33.078	20.713	82.892	28.753	12.448	-15.203	
-2.380	16.348	33.074	20.743	82.863	28.918	12.465	-15.245	
-2.384	16.348	33.071	20.768	82.833	29.086	12.482	-15.284	
-2.387	16.348	33.069	20.789	82.802	29.258	12.499	-15.313	
-2.390	16.348	33.069	20.807	82.770	29.432	12.517	-15.325	
-2.394	16.348	33.070	20.823	82.738	29.608	12.535	-15.320	
-2.397	16.348	33.072	20.838	82.704	29.786	12.553	-15.296	
-2.401	16.348	33.075	20.854	82.670	29.965	12.571	-15.259	
-2.405	16.348	33.080	20.872	82.636	30.145	12.589	-15.212	
-2.408	16.348	33.086	20.893	82.600	30.326	12.608	-15.163	
-2.412	16.348	33.092	20.917	82.564	30.506	12.626	-15.117	
-2.416	16.348	33.100	20.945	82.527	30.686	12.644	-15.078	
-2.420	16.348	33.108	20.977	82.489	30.865	12.663	-15.048	
-2.424	16.348	33.116	21.011	82.451	31.043	12.681	-15.028	
-2.428	16.348	33.125	21.048	82.412	31.219	12.699	-15.016	
-2.432	16.347	33.134	21.086	82.372	31.394	12.717	-15.012	
-2.436	16.347	33.142	21.125	82.332	31.566	12.735	-15.013	
-2.440	16.347	33.151	21.164	82.290	31.737	12.753	-15.017	
-2.444	16.347	33.159	21.203	82.248	31.904	12.770	-15.022	
-2.448	16.347	33.166	21.241	82.205	32.070	12.788	-15.028	
-2.452	16.347	33.172	21.279	82.161	32.232	12.804	-15.032	
-2.457	16.347	33.178	21.316	82.116	32.391	12.821	-15.036	
-2.461	16.347	33.182	21.351	82.071	32.548	12.837	-15.038	
-2.465	16.347	33.185	21.384	82.024	32.702	12.853	-15.039	
-2.469	16.347	33.187	21.414	81.977	32.854	12.868	-15.039	
-2.474	16.347	33.187	21.440	81.930	33.003	12.883	-15.039	
-2.478	16.347	33.186	21.463	81.882	33.150	12.898	-15.038	
-2.482	16.347	33.183	21.482	81.835	33.294	12.912	-15.037	
-2.487	16.347	33.179	21.500	81.787	33.437	12.925	-15.036	
-2.491	16.347	33.172	21.517	81.740	33.577	12.938	-15.035	
-2.496	16.347	33.164	21.536	81.694	33.716	12.950	-15.034	
-2.500	16.347	33.154	21.557	81.648	33.853	12.962	-15.034	
-2.504	16.347	33.142	21.583	81.602	33.988	12.974	-15.034	
-2.509	16.347	33.129	21.615	81.557	34.121	12.985	-15.034	
-2.513	16.346	33.114	21.655	81.513	34.253	12.995	-15.034	
-2.517	16.346	33.098	21.701	81.469	34.382	13.005	-15.034	
-2.522	16.346	33.081	21.756	81.425	34.511	13.015	-15.034	
-2.526	16.346	33.063	21.816	81.382	34.638	13.024	-15.034	
-2.530	16.346	33.044	21.882	81.339	34.765	13.032	-15.035	
-2.535	16.346	33.024	21.951	81.295	34.891	13.040	-15.035	
-2.539	16.346	33.005	22.023	81.252	35.016	13.048	-15.035	
-2.543	16.346	32.986	22.096	81.209	35.143	13.056	-15.035	
-2.547	16.347	32.967	22.168	81.166	35.269	13.063	-15.035	
-2.551	16.347	32.949	22.239	81.122	35.397	13.070	-15.035	
-2.555	16.347	32.932	22.307	81.079	35.526	13.076	-15.035	
-2.559	16.347	32.916	22.371	81.035	35.657	13.083	-15.035	
-2.563	16.347	32.901	22.432	80.990	35.790	13.089	-15.035	
-2.567	16.347	32.888	22.490	80.945	35.925	13.095	-15.035	
-2.571	16.347	32.876	22.546	80.900	36.062	13.101	-15.035	
-2.575	16.347	32.865	22.599	80.854	36.203	13.106	-15.035	
-2.578	16.347	32.857	22.652	80.807	36.346	13.112	-15.035	
-2.582	16.347	32.849	22.705	80.760	36.492	13.118	-15.035	
-2.585	16.347	32.843	22.758	80.712	36.641	13.123	-15.035	
-2.589	16.347	32.838	22.812	80.663	36.793	13.129	-15.035	
-2.592	16.347	32.834	22.867	80.614	36.948	13.135	-15.035	
-2.595	16.347	32.831	22.923	80.564	37.106	13.141	-15.035	
-2.599	16.347	32.828	22.981	80.512	37.267	13.147	-15.034	
-2.602	16.347	32.827	23.040	80.460	37.430	13.153	-15.034	
-2.604	16.347	32.825	23.099	80.407	37.596	13.159	-15.034	
-2.607	16.347	32.824	23.160	80.353	37.764	13.165	-15.034	
-2.610	16.347	32.822	23.221	80.299	37.934	13.172	-15.034	
-2.613	16.347	32.820	23.281	80.243	38.105	13.179	-15.034	
-2.615	16.347	32.818	23.341	80.186	38.278	13.186	-15.034	
-2.617	16.347	32.815	23.400	80.128	38.451	13.193	-15.034	
-2.619	16.347	32.811	23.458	80.069	38.626	13.200	-15.034	
-2.621	16.347	32.805	23.514	80.009	38.800	13.208	-15.034	
-2.623	16.347	32.799	23.568	79.948	38.975	13.215	-15.034	
-2.625	16.347	32.791	23.619	79.885	39.150	13.223	-15.034	
-2.627	16.347	32.782	23.669	79.822	39.325	13.232	-15.034	
-2.628	16.347	32.772	23.716	79.758	39.500	13.240	-15.034	
-2.629	16.347	32.760	23.762	79.692	39.674	13.249	-15.034	
-2.630	16.347	32.746	23.807	79.626	39.849	13.257	-15.034	
-2.631	16.347	32.731	23.852	79.559	40.023	13.266	-15.034	
-2.631	16.347	32.714	23.898	79.491	40.198	13.275	-15.034	
-2.632	16.347	32.696	23.945	79.423	40.373	13.285	-15.034	
-2.632	16.347	32.677	23.995	79.354	40.548	13.294	-15.034	
-2.632	16.347	32.657	24.049	79.284	40.725	13.303	-15.034	
-2.632	16.347	32.635	24.108	79.214	40.904	13.313	-15.034	
-2.631	16.347	32.612	24.172	79.143	41.084	13.322	-15.034	
-2.630	16.347	32.589	24.242	79.072	41.267	13.332	-15.034	
-2.629	16.346	32.564	24.317	79.000	41.453	13.341	-15.034	
-2.628	16.346	32.539	24.399	78.927	41.643	13.351	-15.034	
-2.627	16.346	32.513	24.486	78.852	41.837	13.360	-15.034	
-2.625	16.346	32.486	24.578	78.777	42.036	13.370	-15.034	
-2.623	16.346	32.459	24.674	78.700	42.240	13.379	-15.034	
-2.621	16.346	32.431	24.774	78.622	42.449	13.388	-15.034	
-2.618	16.346	32.403	24.877	78.541	42.665	13.396	-15.034	
-2.615	16.346	32.375	24.982	78.458	42.887	13.405	-15.033	
-2.612	16.346	32.346	25.088	78.372	43.116	13.413	-15.033	
-2.608	16.346	32.317	25.194	78.283	43.352	13.420	-15.033	
-2.604	16.346	32.288	25.299	78.191	43.596	13.428	-15.033	
-2.600	16.346	32.259	25.403	78.096	43.848	13.435	-15.033	
-2.595	16.346	32.230	25.505	77.997	44.107	13.441	-15.033	
-2.590	16.346	32.201	25.605	77.895	44.375	13.447	-15.033	
-2.585	16.346	32.171	25.703	77.789	44.651	13.452	-15.034	
-2.579	16.346	32.142	25.802	77.680	44.936	13.457	-15.036	
-2.573	16.347	32.112	25.901	77.566	45.231	13.461	-15.037	
-2.567	16.347	32.083	26.004	77.449	45.535	13.464	-15.039	
-2.560	16.348	32.052	26.112	77.327	45.849	13.467	-15.041	
-2.553	16.348	32.022	26.227	77.201	46.173	13.469	-15.043	
-2.545	16.349	31.990	26.352	77.071	46.509	13.470	-15.044	
-2.537	16.350	31.957	26.487	76.936	46.856	13.470	-15.043	
-2.529	16.350	31.923	26.636	76.795	47.215	13.469	-15.042	
-2.520	16.351	31.887	26.797	76.649	47.589	13.468	-15.039	
-2.511	16.352	31.848	26.973	76.497	47.976	13.466	-15.035	
-2.501	16.352	31.806	27.163	76.339	48.379	13.462	-15.031	
-2.491	16.352	31.760	27.366	76.173	48.798	13.458	-15.028	
-2.480	16.352	31.710	27.582	75.998	49.235	13.453	-15.026	
-2.469	16.352	31.654	27.811	75.815	49.693	13.447	-15.023	
-2.458	16.352	31.592	28.051	75.621	50.172	13.440	-15.021	
-2.446	16.351	31.523	28.303	75.415	50.674	13.432	-15.018	
-2.433	16.350	31.444	28.567	75.196	51.202	13.423	-15.015	
-2.420	16.348	31.356	28.844	74.961	51.758	13.413	-15.013	
-2.407	16.346	31.255	29.134	74.709	52.344	13.402	-15.013	
-2.393	16.343	31.141	29.439	74.436	52.963	13.390	-15.016	
-2.378	16.340	31.012	29.760	74.139	53.616	13.377	-15.025	
-2.364	16.337	30.866	30.101	73.816	54.307	13.363	-15.041	
-2.348	16.334	30.700	30.462	73.463	55.039	13.349	-15.066	
-2.332	16.330	30.514	30.849	73.074	55.812	13.333	-15.100	
-2.316	16.327	30.303	31.264	72.647	56.631	13.317	-15.141	
-2.299	16.324	30.067	31.712	72.175	57.497	13.300	-15.188	
-2.282	16.322	29.803	32.195	71.654	58.413	13.282	-15.238	
-2.264	16.321	29.509	32.718	71.079	59.381	13.263	-15.285	
