SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.886	16.048	32.897	19.997	80.586	35.652	11.993	-16.554	
-1.887	16.048	32.886	20.037	80.559	35.735	11.991	-16.554	
-1.887	16.048	32.874	20.080	80.532	35.819	11.990	-16.554	
-1.888	16.048	32.864	20.124	80.503	35.903	11.990	-16.554	
-1.888	16.048	32.854	20.169	80.474	35.990	11.991	-16.555	
-1.888	16.048	32.845	20.214	80.443	36.077	11.993	-16.555	
-1.888	16.048	32.838	20.260	80.411	36.167	11.995	-16.556	
-1.887	16.048	32.831	20.305	80.378	36.259	12.000	-16.556	
-1.887	16.048	32.825	20.350	80.343	36.353	12.005	-16.557	
-1.886	16.048	32.821	20.394	80.308	36.450	12.013	-16.558	
-1.886	16.048	32.817	20.438	80.270	36.550	12.021	-16.560	
-1.885	16.048	32.814	20.481	80.231	36.654	12.032	-16.561	
-1.884	16.048	32.813	20.524	80.190	36.761	12.044	-16.562	
-1.883	16.048	32.812	20.568	80.147	36.872	12.057	-16.563	
-1.882	16.048	32.811	20.613	80.103	36.986	12.072	-16.564	
-1.881	16.048	32.812	20.659	80.056	37.105	12.089	-16.565	
-1.880	16.048	32.812	20.706	80.007	37.229	12.107	-16.565	
-1.879	16.048	32.814	20.754	79.956	37.357	12.125	-16.565	
-1.878	16.048	32.815	20.805	79.902	37.489	12.145	-16.563	
-1.876	16.048	32.817	20.856	79.846	37.626	12.165	-16.561	
-1.875	16.048	32.818	20.909	79.788	37.769	12.185	-16.557	
-1.874	16.048	32.819	20.962	79.727	37.916	12.205	-16.552	
-1.873	16.048	32.820	21.017	79.664	38.067	12.224	-16.546	
-1.872	16.048	32.821	21.072	79.599	38.224	12.243	-16.538	
-1.870	16.048	32.821	21.127	79.533	38.384	12.261	-16.529	
-1.869	16.048	32.820	21.183	79.466	38.549	12.279	-16.519	
-1.868	16.048	32.819	21.240	79.398	38.716	12.295	-16.507	
-1.867	16.048	32.816	21.297	79.330	38.886	12.311	-16.495	
-1.866	16.048	32.813	21.355	79.262	39.057	12.326	-16.481	
-1.865	16.048	32.808	21.414	79.193	39.230	12.340	-16.468	
-1.864	16.048	32.802	21.474	79.125	39.403	12.354	-16.455	
-1.863	16.048	32.794	21.535	79.057	39.575	12.367	-16.442	
-1.862	16.048	32.786	21.598	78.988	39.747	12.381	-16.430	
-1.861	16.048	32.775	21.661	78.920	39.918	12.394	-16.419	
-1.860	16.048	32.764	21.725	78.852	40.087	12.408	-16.410	
-1.859	16.048	32.751	21.789	78.784	40.254	12.423	-16.401	
-1.858	16.048	32.737	21.853	78.715	40.419	12.438	-16.394	
-1.857	16.048	32.722	21.917	78.646	40.582	12.454	-16.387	
-1.857	16.048	32.707	21.981	78.576	40.743	12.471	-16.382	
-1.856	16.048	32.690	22.044	78.505	40.903	12.489	-16.376	
-1.856	16.048	32.673	22.106	78.434	41.060	12.507	-16.370	
-1.855	16.048	32.655	22.167	78.361	41.217	12.526	-16.365	
-1.855	16.048	32.638	22.227	78.287	41.372	12.544	-16.358	
-1.855	16.048	32.620	22.285	78.213	41.528	12.563	-16.351	
-1.855	16.048	32.603	22.342	78.137	41.683	12.581	-16.344	
-1.855	16.048	32.586	22.397	78.060	41.840	12.599	-16.336	
